ページ タイトル,ページパス + クエリ文字列,表示回数
"Anti PD-L1/CD274, Trial Size: 20 UL（PGI-179521AP-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18947489&ServerKey=Primary&selPrice=1,1
"Anti HER2/ErbB2, Trial Size: 20 UL（PGI-182991AP-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18947519&ServerKey=Primary&selPrice=1,1
"Anti ZCCHC11, Trial Size: 20 UL（PGI-189801AP-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18947544&ServerKey=Primary&selPrice=1,1
"Anti VEGFA, Trial Size: 20 UL（PGI-190031AP-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18947548&ServerKey=Primary&selPrice=1,1
"Anti TLR4, Trial Size: 20 UL（PGI-198111AP-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18947577&ServerKey=Primary&selPrice=1,1
"Anti ER, Trial Size: 20 UL（PGI-212441AP-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18947665&ServerKey=Primary&selPrice=1,1
"Anti P53, Trial Size: 20 UL（PGI-218911AP-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18947699&ServerKey=Primary&selPrice=1,1
"Anti G6PC, Trial Size: 20 UL（PGI-221691AP-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18947709&ServerKey=Primary&selPrice=1,1
"Anti FOXP3, Trial Size: 20 UL（PGI-222281AP-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18947715&ServerKey=Primary&selPrice=1,1
Anti SLC25A46（PGI-278691AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18947949&ServerKey=Primary&selPrice=1,1
"Anti RAB7A, Trial Size: 20 UL（PGI-554691AP-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18947995&ServerKey=Primary&selPrice=1,1
"Anti PPAR γ, Trial Size: 20 UL（PGI-601271IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18948012&ServerKey=Primary&selPrice=1,1
"Anti PAX8, Trial Size: 20 UL（PGI-601454IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18948014&ServerKey=Primary&selPrice=1,1
"Anti Cyclin D1, Trial Size: 20 UL（PGI-601861IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18948018&ServerKey=Primary&selPrice=1,1
"Anti Napsin A, Trial Size: 20 UL（PGI-602592IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18948025&ServerKey=Primary&selPrice=1,1
"Anti IFITM2-specific, Trial Size: 20 UL（PGI-661371IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18948042&ServerKey=Primary&selPrice=1,1
"Anti PD-L1/CD274, Trial Size: 20 UL（PGI-662481IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18948052&ServerKey=Primary&selPrice=1,1
"Anti β galactosidase, Trial Size: 20 UL（PGI-665861IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18948061&ServerKey=Primary&selPrice=1,1
"Anti Cytokeratin 13, Trial Size: 20 UL（PGI-666841IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18948183&ServerKey=Primary&selPrice=1,1
"Anti UCP2, Trial Size: 20 UL（PGI-667001IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18948213&ServerKey=Primary&selPrice=1,1
Mouse Embryonic Fibroblast (MEF)（PMC-MEF01C-1VIAL[1 x 10<sup>6</sup> cells/vial]）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18948301&ServerKey=Primary&selPrice=1,1
LV-EF1α-mCherry-Puro（SGL-SL100273-2*25UL[>1x10^9 TU/mL]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18948917&ServerKey=Primary&selPrice=1,1
"AAV-Synapsin-tdTOMATO (Serotype 2)（SGL-SL100896-1VIAL[30 uL, >1x10^13 VG/mL]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18948982&ServerKey=Primary&selPrice=1,1
"AAV-EF1α-GFP (AAV Serotype 1)（SGL-SL101621-1VIAL[30 uL, >1x10^13 VG/mL]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18949253&ServerKey=Primary&selPrice=1,1
SLAMseq Kinetics Kit - Anabolic Kinetics Module（LEX-06124-24PREP.）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18962231&ServerKey=Primary&selPrice=1,1
SLAMseq Kinetics Kit - Catabolic Kinetics Module（LEX-06224-24PREP.）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18962232&ServerKey=Primary&selPrice=1,1
Reprogrammed HepG2 cells（PMC-RHEPG2C-1VIAL[3x10^6 cells]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18962299&ServerKey=Primary&selPrice=1,1
Osteoprotegerin/TNFRSF11B OmniKine<sup>TM</sup> ELISA Kit（ASY-OK0370-96TEST[12 x 8-Well Microstrips]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18962655&ServerKey=Primary&selPrice=1,1
Anguilla anguilla Lectin [AAA]（EY-L49011-1MG）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1896307&ServerKey=Primary&selPrice=1,1
STEM CELL KIT（ISP-SCK-50TEST）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18963717&ServerKey=Primary&selPrice=1,1
"Lenti-Pac HIV qRT-PCR Titration Kit（GCP-LT005-1KIT[20 RT reactions, 50 PCR reactions]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18963988&ServerKey=Primary&selPrice=1,1
Liver Sinusoidal Endothelial Cell Media Kit (BPE Free)（APB-TM112C-1KIT）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18964631&ServerKey=Primary&selPrice=1,1
MAPK Pathway Phospho Antibody Array（FMB-PMK185-2SLIDE）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1902716&ServerKey=Primary&selPrice=1,1
ACE test (EO Gas) (>1x10^6)（FUK-H3724-1PACK[100 bottles/box]）（カテゴリ：臨床検査試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1904598&ServerKey=Primary&selPrice=1,1
"Poly Sealer with Cutter, Blue（FUS-PC200-1SET[1_unit]）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=1904873&ServerKey=Primary&selPrice=1,1
CORE Kit (Control of Range Evaluation Kit)（GK-GKCORE-30*1ML）（カテゴリ：臨床検査試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1909246&ServerKey=Primary&selPrice=1,1
Control of Range Evaluation Set（GK-GKCORE-50*1ML）（カテゴリ：臨床検査試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1909247&ServerKey=Primary&selPrice=1,1
Coumadin<sup>(R)</sup> Plasma（GK-GKCP-5*1ML[1_mL]）（カテゴリ：臨床検査試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1909251&ServerKey=Primary&selPrice=1,1
Anti Collagen Type I (COL1)（WLS-PAA571MU01-100UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19149314&ServerKey=Primary&selPrice=1,1
Dendritic Cell Generation Media（PMC-DCDM-125ML）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19158973&ServerKey=Primary&selPrice=1,1
Fibronectin Solution viral inactivated (plasma derived) (cGMP)（AKR-AK99300001-1MG[濃度：1 mg/mL]）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19168149&ServerKey=Primary&selPrice=1,1
Anti Cell-Surface Vimentin (CSV)（ABV-H00007431MB08-50UG）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19202148&ServerKey=Primary&selPrice=1,1
"INNO-LIA Syphilis Score <20T, RUO>（IGT-81431-1KIT[20 TEST]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19234269&ServerKey=Primary&selPrice=1,1
Relative Telomere Length Quantification qPCR Assay Kit（SCR-M8908-100RXN）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19235077&ServerKey=Primary&selPrice=1,1
AFFINITY ISOLATION SYSTEM RAT IgG（AQI-K4091R10ML-1KIT[1_キット]）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19238146&ServerKey=Primary&selPrice=1,1
SensoLyte<sup>(R)</sup> Rh110 Plasma Kallikrein Activity Assay kit *Fluorimetric*（ASI-AS72255-1KIT）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19287125&ServerKey=Primary&selPrice=1,1
GLRaV-1 + GLRaV-3 ELISA Kit（AGO-K0305A-1000TEST）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19295073&ServerKey=Primary&selPrice=1,1
MemBrite<sup>TM</sup> Fix 543/560 Cell Surface Staining Kit（BTI-30094T-1KIT[100 Reactions]）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19308127&ServerKey=Primary&selPrice=1,1
NFkB p65 (Total/Phospho) ELISA Kit（ENZ-ADIEKS446A-96WELL）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19308327&ServerKey=Primary&selPrice=1,1
CELLiST<sub>TM</sub> Feed media（AJI-FEED2-0.2L）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19317637&ServerKey=Primary&selPrice=1,1
Drug Free Urine（LEE-99103DFS-500ML）（カテゴリ：受託サービス） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19344368&ServerKey=Primary&selPrice=1,1
"Urine, Normal, Female Donor Pooled（LEE-99103PF-1L）（カテゴリ：受託サービス） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19344371&ServerKey=Primary&selPrice=1,1
Anti PD-1（GME-IHC001100-0.1ML）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19344635&ServerKey=Primary&selPrice=1,1
"Anti TSH β, Trial Size: 20 UL（PGI-667501IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19356322&ServerKey=Primary&selPrice=1,1
"Anti IFIH1/MDA5, Trial Size: 20 UL（PGI-667701IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19356352&ServerKey=Primary&selPrice=1,1
MembFac<sup>TM</sup>（HAM-HR2114-1KIT[10 ml]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1948300&ServerKey=Primary&selPrice=1,1
Natrix<sup>TM</sup>（HAM-HR2116-1KIT[10 ml]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1948303&ServerKey=Primary&selPrice=1,1
Crystal Screen Cryo<sup>TM</sup>（HAM-HR2122-1KIT[10 ml]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1948308&ServerKey=Primary&selPrice=1,1
Crystal Screen Lite<sup>TM</sup>（HAM-HR2128-1KIT[10 ml]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1948314&ServerKey=Primary&selPrice=1,1
PCT<sup>TM</sup> - Pre-Crystallization Test (with plates)（HAM-HR2142-1KIT）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1948326&ServerKey=Primary&selPrice=1,1
BIOPHEN<sup>(R)</sup> UFH Control C2（HBM-223901-12*1ML）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1951604&ServerKey=Primary&selPrice=1,1
Hyaluronan Binding Protein [HABP]（HKD-BC41-50UG[200 UL (0.25 mg/mL)]）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1952856&ServerKey=Primary&selPrice=1,1
HI-TECH BAG ACE-(Dumping Bag) M size（HTC-B10002-200SHEET）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1956831&ServerKey=Primary&selPrice=1,1
Strep-Tactin<sup>(R)</sup>-HRP conjugate（IBA-21502001-0.5ML）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1958293&ServerKey=Primary&selPrice=1,1
VEGFR-1 ELISA Kit（PGI-KE00113-1KIT[96assay]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19663824&ServerKey=Primary&selPrice=1,1
Anti IgG (H+L)（PGI-SA0000115-200UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19690002&ServerKey=Primary&selPrice=1,1
Anti IgG(H+L)（PGI-SA000083-200UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19690023&ServerKey=Primary&selPrice=1,1
RNAscope<sup>TM</sup> VS Universal HRP Reagent Kit（ADC-323200-1KIT[for 60 slides]）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19690556&ServerKey=Primary&selPrice=1,1
Genocel<sup>(R)</sup> Sheet type φ8mm(24well)（NIK-GCS10008B-3PC）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19695382&ServerKey=Primary&selPrice=1,1
"Anti HLA-F, Trial Size: 20 UL（PGI-668191IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19695474&ServerKey=Primary&selPrice=1,1
Anti HLA-F（PGI-668191IG-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19695475&ServerKey=Primary&selPrice=1,1
"Anti VEGFA, Trial Size: 20 UL（PGI-668281IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19695490&ServerKey=Primary&selPrice=1,1
Amplite<sup>(R)</sup> Fluorimetric Protein Quantitation Kit *Orange Fluorescence*（ABD-11105-1KIT[500 tests]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19695518&ServerKey=Primary&selPrice=1,1
Cal-500<sup>TM</sup> AM（ABD-20412-10*50UG）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19695537&ServerKey=Primary&selPrice=1,1
Bucculite<sup>TM</sup> FdU Cu-Free Cell Proliferation Fluorescence Imaging Kit *Red Fluorescence*（ABD-22315-1KIT[200 Tests]）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19695555&ServerKey=Primary&selPrice=1,1
CRP ELISA Kit（ICS-E25CRP-1KIT[12 of 8-well strips]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1970842&ServerKey=Primary&selPrice=1,1
CRP ELISA Kit（ICS-E5CRP-1KIT[12 of 8-well strips]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1970862&ServerKey=Primary&selPrice=1,1
CRP ELISA Kit（ICS-E90CRP-1KIT[12 of 8-well strips]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1970886&ServerKey=Primary&selPrice=1,1
Lyophilized Exosome Standards from MCF-7 cell line（ISP-EXOMCF7-100UG）（カテゴリ：miRNA研究） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19712811&ServerKey=Primary&selPrice=1,1
Cryopreserved Bladder Smooth Muscle Cells（ZEN-BSMF-1VIAL[5 x 10^5 cells/vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19727060&ServerKey=Primary&selPrice=1,1
"Keratinocyte Growth Medium, Adult（ZEN-KM2-500ML）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19727235&ServerKey=Primary&selPrice=1,1
"Cryopreserved, Adult Epidermal Keratinocytes（ZEN-KRF-1VIAL[0.5 x 10^6 cells/vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19727239&ServerKey=Primary&selPrice=1,1
"Cryopreserved, Adult Epidermal Keratinocytes SUPERLOT（ZEN-KRFSL-1VIAL[0.5 x 10^6 cells/vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19727240&ServerKey=Primary&selPrice=1,1
Cryopreserved Lung Fibroblast（ZEN-LFF-1VIAL[5 x 10^5 cells/vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19727249&ServerKey=Primary&selPrice=1,1
Cryopreserved NEONATAL Melanocytes（ZEN-MELFNEO-1VIAL[0.5 x 10^6 cells/vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19727286&ServerKey=Primary&selPrice=1,1
Cryopreserved Renal Proximal Tubule Epithelial Cells（ZEN-RPCTF-1VIAL[5 x 10^5 cells/vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19727426&ServerKey=Primary&selPrice=1,1
"Peripheral Blood Mononuclear Cells (PBMCs), Cryopreserved（ZEN-SERPBMC200F-1VIAL[min of 100 x 10^6 cells/vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19727520&ServerKey=Primary&selPrice=1,1
"Cryopreserved, Skeletal Myoblasts（ZEN-SKBF-1VIAL[0.5 x 10^6 cells/vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19727556&ServerKey=Primary&selPrice=1,1
"Cryopreserved, subcutaneous preadipocytes BMI<25.0（ZEN-SPF1-1VIAL[2 x 10^6 cells/vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19727604&ServerKey=Primary&selPrice=1,1
Cryopreserved Tenocytes（ZEN-TENF-1VIAL[1 x 10^6 cells/vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19727634&ServerKey=Primary&selPrice=1,1
TNF α（PGI-HZ1014-100UG）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19731555&ServerKey=Primary&selPrice=1,1
IL-2（PGI-HZ1015-10UG）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19731557&ServerKey=Primary&selPrice=1,1
Wnt3A（PGI-HZ1296-10UG）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19731695&ServerKey=Primary&selPrice=1,1
IFN γ（PGI-HZ1301-10UG）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19731700&ServerKey=Primary&selPrice=1,1
HSA（PGI-HZ3001-100UG）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19731709&ServerKey=Primary&selPrice=1,1
Breast Milk exosome（CSR-EXHM100L-1SET[100uLx10 vial]）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19744966&ServerKey=Primary&selPrice=1,1
SensoLyte<sup>(R)</sup> Rh110 Furin Activity Assay Kit *Fluorimetric*（ASI-AS72256-1KIT）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19749122&ServerKey=Primary&selPrice=1,1
Anti Vimentin（PGI-CL48860330-100UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19754244&ServerKey=Primary&selPrice=1,1
"Anti Histone H3, phospho Ser10, Trial Size: 20 UL（PGI-668631IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19754334&ServerKey=Primary&selPrice=1,1
Anti CD8a（PGI-668681IG-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19754339&ServerKey=Primary&selPrice=1,1
Centricut Ultramini (PTFE)（0.45um)（KRB-WMR045-100PC）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19765782&ServerKey=Primary&selPrice=1,1
SR-FLICA<sup>(R)</sup> Poly Caspase Assay Kit（IMT-916-25TEST）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1980726&ServerKey=Primary&selPrice=1,1
FAM-FLICA<sup>(R)</sup> Caspase 3 & 7 Assay Kit（IMT-94-100TEST）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1980744&ServerKey=Primary&selPrice=1,1
FAM-FLICA<sup>(R)</sup> Caspase 1 Assay Kit（IMT-98-100TEST）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1980773&ServerKey=Primary&selPrice=1,1
RNA-spin<sup>TM</sup> Total RNA Extraction Kit（INB-17211-50COLUMN）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1980875&ServerKey=Primary&selPrice=1,1
PRO-MEASURE<sup>TM</sup> Protein Measurement Solution（INB-21011-100ML）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1980897&ServerKey=Primary&selPrice=1,1
Lactoferrin Control（INF-CBBLFC-1SET）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1980989&ServerKey=Primary&selPrice=1,1
Lactoferrin Latex Test Kit（INF-CBBLFK-1KIT）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1980991&ServerKey=Primary&selPrice=1,1
Anti pimonidazole（HPI-RED594-1VIAL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19819278&ServerKey=Primary&selPrice=1,1
WESTERNVIEW<sup>TM</sup> Detection Kit (Anti-Mouse)（ENZ-ENZKIT1820001-1KIT）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19819807&ServerKey=Primary&selPrice=1,1
sensitive tissue hydroxyproline kit（QZM-QZBTISHYP1-1KIT[1 plate 96 assays]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19819831&ServerKey=Primary&selPrice=1,1
Electoromotion Mixer（ISO-23M-1SET[1_セット]）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1982080&ServerKey=Primary&selPrice=1,1
KINSIRO GYUNYU TEST Ver.2（TIC-KGT2100-1KIT[100_テスト]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19822930&ServerKey=Primary&selPrice=1,1
Anti Vasoactive Intestinal Peptide（IST-20077-100UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1982308&ServerKey=Primary&selPrice=1,1
Anti Serotonin（IST-20079-100UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1982310&ServerKey=Primary&selPrice=1,1
